Rank,ID,Movie Title,Studio,Total Gross,Theaters,Opening,Opening Theaters,Open,Close
546,310,Life & Nothing More,CFI,"$13,576 ",6,"$6,536 ",6,24-Oct,
146,311,Life Itself (2018),Amazon,"$4,102,648 ","2,609","$2,123,463 ","2,609",21-Sep,
44,312,Life of the Party ,New Line,"$52,856,061 ","3,656","$17,886,075 ","3,656",11-May,2-Aug
217,313,Like Arrows,Fathom,"$843,885 ",784,,,1-May,3-May
550,314,Like Me,KL,"$12,965 ",4,"$5,064 ",3,26-Jan,15-Feb
211,315,Little Italy,EOne,"$990,230 ",133,"$283,399 ",133,24-Aug,
302,316,Little Pink House,Da.,"$220,948 ",13,"$68,507 ",9,20-Apr,
190,317,Little Women (2018),Pinnacle,"$1,379,357 ",643,"$705,063 ",643,28-Sep,
540,318,Liyana,Abr.,"$15,020 ",3,"$2,160 ",1,10-Oct,
237,319,Lizzie,RAtt.,"$642,157 ",240,"$47,580 ",4,14-Sep,25-Oct
384,320,Lobster Cop,CL,"$85,693 ",12,"$35,015 ",12,22-Jun,19-Jul
294,321,London Fields,GVN,"$252,676 ",613,"$168,575 ",613,26-Oct,
552,322,"Lou Andreas-Salomé, the Audacity to be Free",CLS,"$12,875 ",2,"$5,060 ",1,20-Apr,17-May
353,323,Love After Love,IFC,"$113,074 ",29,"$11,290 ",1,30-Mar,17-May
361,324,"Love, Cecil",Zeit.,"$106,057 ",8,,,29-Jun,25-Oct
238,325,"Love, Gilda",Magn.,"$626,318 ",112,"$189,639 ",82,21-Sep,
63,326,"Love, Simon",Fox,"$40,826,341 ","2,434","$11,756,244 ","2,402",16-Mar,14-Jun
242,327,Loveless (2018),SPC,"$566,356 ",59,"$30,222 ",3,16-Feb,10-May
506,328,Loving Pablo,Universal,"$22,017 ",15,"$16,564 ",15,5-Oct,11-Oct
357,329,Lu Over the Wall,GK,"$109,857 ",97,"$60,773 ",97,11-May,28-Jun
334,330,Luis & the Aliens,VPD,"$154,170 ",20,,,17-Aug,
378,331,Madame,Blue Fox,"$90,979 ",,,,23-Mar,
317,332,Madeline's Madeline,Osci.,"$185,576 ",33,"$18,009 ",1,10-Aug,11-Oct
572,333,Mama Africa Miriam Makeba,Artma,"$10,430 ",1,"$3,495 ",1,19-Jan,15-Feb
455,334,Mamma Mia! 10th Anniversary,Fathom,"$39,601 ",243,"$23,376 ",243,4-Nov,
20,335,Mamma Mia! Here We Go Again,Universal,"$120,634,935 ","3,514","$34,952,180 ","3,317",20-Jul,11-Oct
199,336,Mandy,RLJ,"$1,214,525 ",250,"$225,723 ",75,13-Sep,
241,337,Manmarziyaan,Eros,"$567,417 ",99,"$292,439 ",99,14-Sep,
358,338,Mantra: Sounds into Silence,Gathr,"$109,296 ",9,,,20-Apr,
332,339,Maquia: When the Promised Flower Blooms,Elev.,"$160,988 ",221,"$70,336 ",157,20-Jul,
248,340,Maria by Callas,SPC,"$523,398 ",55,"$91,915 ",16,2-Nov,
532,341,Marlina the Murderer in Four Acts,Icar.,"$17,788 ",3,"$3,296 ",1,22-Jun,
655,342,Marrowbone,Magn.,"$1,377 ",7,$624 ,7,13-Apr,3-May
167,343,Mary and the Witch's Flower,GK,"$2,418,404 ",573,"$348,475 ",161,18-Jan,5-Apr
373,344,Mary Shelley,IFC,"$97,321 ",30,"$12,570 ",2,25-May,8-Jul
301,345,Matangi/Maya/M.I.A.,Abr.,"$221,083 ",9,"$43,573 ",2,28-Sep,
40,346,Maze Runner: The Death Cure,Fox,"$58,032,443 ","3,793","$24,167,011 ","3,787",26-Jan,3-May
196,347,McQueen,BST,"$1,257,275 ",95,"$98,873 ",4,20-Jul,4-Oct
368,348,Memoir of War,MBox,"$101,628 ",11,"$11,653 ",2,17-Aug,
484,349,Memories of Underdevelopment (2017 re-release),Jan.,"$29,647 ",1,"$8,244 ",1,12-Jan,15-Feb
193,350,Met Opera: Cendrillon,Fathom,"$1,300,000 ",900,"$1,300,000 ",900,28-Apr,28-Apr
340,351,Met Opera: Il Trovatore (2018),Fathom,"$130,579 ",341,,,27-Jun,
204,352,Met Opera: L'Elisir d'Amore (2018),Fathom,"$1,170,000 ",900,"$1,170,000 ",900,10-Feb,
180,353,Met Opera: La Bohème (2018),Fathom,"$1,875,000 ",900,"$1,875,000 ",900,24-Feb,
202,354,Met Opera: Semiramide,Fathom,"$1,200,000 ",900,"$1,200,000 ",900,10-Mar,
178,355,Met Opera: Tosca,Fathom,"$2,000,000 ",900,"$2,000,000 ",900,27-Jan,
300,356,MFKZ,GK,"$229,423 ",436,"$6,094 ",436,11-Oct,
121,357,Mid90s,A24,"$7,209,808 ","1,206","$258,157 ",4,19-Oct,
110,358,Midnight Sun,Global Road,"$9,561,064 ","2,173","$4,003,993 ","2,173",23-Mar,
67,359,Mile 22,STX,"$36,108,758 ","3,520","$13,710,825 ","3,520",17-Aug,4-Oct
492,360,Milford Graves Full Mantis,CGld,"$26,186 ",4,"$7,407 ",1,13-Jul,
465,361,Mind Game (2017 re-release),GK,"$36,613 ",7,"$5,609 ",7,16-Feb,5-Apr
559,362,Minding the Gap,Magn.,"$11,998 ",5,"$6,812 ",4,17-Aug,23-Aug
6,363,Mission: Impossible - Fallout,Paramount,"$220,159,104 ","4,395","$61,236,534 ","4,386",27-Jul,18-Oct
452,364,"Monrovia, Indiana",Zipp.,"$40,860 ",14,"$5,172 ",1,26-Oct,
343,365,Monster Family,VPD,"$127,259 ",15,$576 ,10,9-Feb,
230,366,Monster Hunt 2,Lionsgate Films,"$706,153 ",69,"$341,834 ",69,16-Feb,8-Mar
251,367,Monsters and Men,Neon,"$500,101 ",153,"$118,697 ",18,28-Sep,28-Oct
181,368,Moses,Fathom,"$1,807,117 ",697,"$416,047 ",673,13-Sep,
274,369,Mountain,Greenwich,"$365,412 ",35,"$6,067 ",1,11-May,9-Aug
477,370,Moynihan,FRun,"$31,970 ",2,"$4,416 ",1,3-Oct,
527,371,Mrs. Hyde,Cartilage,"$18,627 ",2,"$5,943 ",1,27-Apr,5-Aug
399,372,Mukkabaaz,Eros,"$75,929 ",19,"$47,808 ",19,12-Jan,25-Jan
336,373,Museo,Vita.,"$148,505 ",12,"$16,554 ",1,14-Sep,
554,374,My Art,FM,"$12,554 ",2,"$5,538 ",1,12-Jan,8-Feb
132,375,My Hero Academia: Two Heroes,FUN,"$5,754,556 ",535,"$1,388,499 ",508,25-Sep,
363,376,Namaste England,Eros,"$104,079 ",71,"$67,612 ",71,19-Oct,
408,377,Namiya,CL,"$70,814 ",21,"$39,584 ",21,5-Jan,18-Jan
642,378,Nana,FunAcad,"$2,784 ",1,"$1,240 ",1,13-Apr,19-Apr
393,379,Nancy (2018),Gold.,"$80,115 ",11,"$15,056 ",3,8-Jun,15-Jul
